ParkName,State,partySize,BookingType,RateType,Equipment
Mira River,NS ,4,Full,CampsitePermit,ST
Dollar Lake,NS ,4,Full,CampsitePermit,LT30ft
Five Islands,NS ,5,Full,CampsitePermit,ST
Battery,NS ,2,Full,CampsitePermit,LT20ft
Amherst Shore,NS ,4,Full,CampsitePermit,T
Rissers Beach,NS ,2,Senior,CampsitePermit,LT20ft
Valleyview,NS ,1,Full,CampsitePermit,ST
Smileys,NS ,2,Full,CampsitePermit,LT20ft
Laurie,NS ,6,Full,CampsitePermit,LT20ft
Rissers Beach,NS ,6,Full,CampsitePermit,T
Smileys,NS ,3,Full,CampsitePermit,ST
Dollar Lake,NS ,5,Full,CampsitePermit,T
The Islands,NS ,4,Full,CampsitePermit,LT20ft
Mira River,NS ,3,Full,CampsitePermit,LT30ft
Rissers Beach,NS ,3,Full,CampsitePermit,LT20ft
Caribou Munroes,NS ,4,Full,CampsitePermit,LT30ft
Dollar Lake,NS ,2,Full,CampsitePermit,ST
Cape Chignecto,NS ,2,Full,BackcountryPermit,ST
Rissers Beach,NS ,4,Full,CampsitePermit,LT40ft
Salsman,NS ,2,Full,CampsitePermit,LT30ft
Ellenwood Lake,NS ,3,Full,CampsitePermit,ST
Dollar Lake,NS ,2,Full,CampsitePermit,LT20ft
Graves Island,NS ,6,Full,CampsitePermit,T
Porters Lake,NS ,2,Senior,CampsitePermit,LT20ft
Thomas Raddall,NS ,3,Full,CampsitePermit,ST
Thomas Raddall,NS ,3,Full,CampsitePermit,LT20ft
Graves Island,NS ,1,Full,CampsitePermit,ST
Graves Island,NS ,3,Full,CampsitePermit,LT40ft
Caribou Munroes,NS ,1,Senior,CampsitePermit,ST
Dollar Lake,NS ,2,Full,CampsitePermit,ST
Blomidon,NS ,4,Full,CampsitePermit,T
Graves Island,NS ,2,Full,CampsitePermit,ST
Blomidon,NS ,2,Full,CampsitePermit,ST
Caribou Munroes,NS ,4,Full,CampsitePermit,LT20ft
Mira River,NS ,2,Full,CampsitePermit,LT30ft
Thomas Raddall,NS ,2,Full,CampsitePermit,ST
Blomidon,NS ,2,Veteran,CampsitePermit,ST
Thomas Raddall,NS ,4,Full,CampsitePermit,ST
Graves Island,NS ,2,Full,CampsitePermit,ST
Rissers Beach,NS ,2,Full,CampsitePermit,LT30ft
Rissers Beach,NS ,2,Full,CampsitePermit,ST
Valleyview,NS ,2,Senior,CampsitePermit,ST
Rissers Beach,NS ,2,Full,CampsitePermit,LT20ft
Mira River,NS ,4,Full,CampsitePermit,ST
Mira River,NS ,4,Full,CampsitePermit,LT30ft
Mira River,NS ,2,Senior,CampsitePermit,LT40ft
Battery,NS ,2,Full,CampsitePermit,LT20ft
The Islands,NS ,4,Full,CampsitePermit,LT20ft
Five Islands,NS ,5,Full,CampsitePermit,ST
Rissers Beach,NS ,2,Full,CampsitePermit,LT20ft
Dollar Lake,NS ,5,Full,CampsitePermit,ST
Thomas Raddall,NS ,3,Full,CampsitePermit,LT20ft
Caribou Munroes,NS ,3,Full,CampsitePermit,LT20ft
Thomas Raddall,NS ,2,Full,CampsitePermit,ST
Graves Island,NS ,2,Full,CampsitePermit,LT30ft
Battery,NS ,4,Full,CampsitePermit,ST
Porters Lake,NS ,6,Full,CampsitePermit,T
The Islands,NS ,1,Full,CampsitePermit,ST
Salsman,NS ,3,Full,CampsitePermit,LT20ft
Thomas Raddall,NS ,3,Full,CampsitePermit,LT20ft
Battery,NS ,4,Full,CampsitePermit,ST
Smileys,NS ,2,Senior,CampsitePermit,LT30ft
The Islands,NS ,3,Full,CampsitePermit,LT20ft
Laurie,NS ,3,Full,CampsitePermit,LT20ft
The Islands,NS ,2,Full,CampsitePermit,LT20ft
Graves Island,NS ,2,Full,CampsitePermit,LT30ft
Graves Island,NS ,2,Senior,CampsitePermit,LT40ft
Thomas Raddall,NS ,3,Full,CampsitePermit,ST
Smileys,NS ,2,Full,CampsitePermit,LT20ft
Graves Island,NS ,1,Full,CampsitePermit,ST
Dollar Lake,NS ,5,Full,CampsitePermit,T
Amherst Shore,NS ,2,Senior,CampsitePermit,LT30ft
Cape Chignecto,NS ,2,Full,BackcountryPermit,
Rissers Beach,NS ,4,Full,CampsitePermit,LT20ft
Five Islands,NS ,2,Full,CampsitePermit,ST
Thomas Raddall,NS ,1,Full,CampsitePermit,ST
Mira River,NS ,3,Full,CampsitePermit,LT20ft
Caribou Munroes,NS ,2,Senior,CampsitePermit,ST
Cape Chignecto,NS ,2,Full,BackcountryPermit,ST
Thomas Raddall,NS ,4,Full,CampsitePermit,LT20ft
Mira River,NS ,4,Full,CampsitePermit,ST
Graves Island,NS ,2,Full,CampsitePermit,LT20ft
Amherst Shore,NS ,4,Full,CampsitePermit,LT20ft
Mira River,NS ,4,Full,CampsitePermit,LT40ft
Dollar Lake,NS ,2,Full,CampsitePermit,LT30ft
Valleyview,NS ,3,Full,CampsitePermit,LT20ft
Smileys,NS ,3,Full,CampsitePermit,ST
Laurie,NS ,4,Full,CampsitePermit,T
Rissers Beach,NS ,1,Full,CampsitePermit,ST
Graves Island,NS ,2,Full,CampsitePermit,LT20ft
Porters Lake,NS ,2,Full,CampsitePermit,LT30ft
Blomidon,NS ,2,Full,CampsitePermit,LT30ft
The Islands,NS ,2,Full,CampsitePermit,LT20ft
Ellenwood Lake,NS ,3,Full,CampsitePermit,LT30ft
Whycocomagh,NS ,2,Full,CampsitePermit,ST
Smileys,NS ,3,Full,CampsitePermit,ST
Porters Lake,NS ,2,Full,CampsitePermit,LT30ft
Caribou Munroes,NS ,2,Full,CampsitePermit,ST
Salsman,NS ,2,Full,CampsitePermit,LT20ft
Caribou Munroes,NS ,2,Full,CampsitePermit,ST
Thomas Raddall,NS ,5,Full,CampsitePermit,T
Valleyview,NS ,3,Full,CampsitePermit,ST
Smileys,NS ,5,Full,CampsitePermit,LT40ft
Valleyview,NS ,1,Full,CampsitePermit,ST
Smileys,NS ,3,Full,CampsitePermit,LT20ft
Dollar Lake,NS ,2,Full,CampsitePermit,LT20ft
Caribou Munroes,NS ,4,Full,CampsitePermit,ST
Battery,NS ,2,Full,CampsitePermit,ST
Porters Lake,NS ,1,Full,CampsitePermit,ST
Caribou Munroes,NS ,3,Full,CampsitePermit,LT20ft
Smileys,NS ,3,Full,CampsitePermit,LT20ft
The Islands,NS ,2,Full,CampsitePermit,LT20ft
Ellenwood Lake,NS ,2,Full,CampsitePermit,LT30ft
Battery,NS ,4,Full,CampsitePermit,LT30ft
Caribou Munroes,NS ,4,Full,CampsitePermit,LT20ft
Battery,NS ,2,Full,CampsitePermit,ST
The Islands,NS ,2,Full,CampsitePermit,LT30ft
Mira River,NS ,2,Full,CampsitePermit,ST
Battery,NS ,2,Senior,CampsitePermit,LT30ft
Five Islands,NS ,2,Full,CampsitePermit,LT20ft
Rissers Beach,NS ,3,Full,CampsitePermit,LT30ft
Battery,NS ,4,Senior,CampsitePermit,LT20ft
Battery,NS ,2,Full,CampsitePermit,ST
Rissers Beach,NS ,2,Senior,CampsitePermit,LT30ft
Laurie,NS ,2,Full,CampsitePermit,LT30ft
Mira River,NS ,2,Full,CampsitePermit,ST
Dollar Lake,NS ,2,Full,CampsitePermit,LT20ft
Blomidon,NS ,2,Senior,CampsitePermit,T
Five Islands,NS ,3,Senior,CampsitePermit,LT20ft
Five Islands,NS ,2,Full,CampsitePermit,ST
Smileys,NS ,4,Full,CampsitePermit,ST
Caribou Munroes,NS ,2,Senior,CampsitePermit,LT30ft
Mira River,NS ,2,Full,CampsitePermit,LT20ft
Blomidon,NS ,2,Full,CampsitePermit,LT30ft
Porters Lake,NS ,4,Full,CampsitePermit,LT30ft
Caribou Munroes,NS ,3,Senior,CampsitePermit,LT20ft
Ellenwood Lake,NS ,3,Full,CampsitePermit,LT30ft
Five Islands,NS ,3,Full,CampsitePermit,LT20ft
Mira River,NS ,2,Full,CampsitePermit,ST
Dollar Lake,NS ,4,Full,CampsitePermit,T
Mira River,NS ,5,Full,CampsitePermit,LT40ft
Blomidon,NS ,2,Full,CampsitePermit,ST
Rissers Beach,NS ,2,Full,CampsitePermit,LT30ft
Mira River,NS ,2,Full,CampsitePermit,LT20ft
Caribou Munroes,NS ,2,Full,CampsitePermit,ST
Rissers Beach,NS ,5,Full,CampsitePermit,LT30ft
Five Islands,NS ,2,Senior,CampsitePermit,LT30ft
Mira River,NS ,2,Full,CampsitePermit,ST
Porters Lake,NS ,4,Full,CampsitePermit,ST
Thomas Raddall,NS ,4,Full,CampsitePermit,LT20ft
Porters Lake,NS ,2,Full,CampsitePermit,ST
Porters Lake,NS ,4,Full,CampsitePermit,ST
Dollar Lake,NS ,5,Full,CampsitePermit,T
Graves Island,NS ,2,Full,CampsitePermit,ST
Dollar Lake,NS ,4,Full,CampsitePermit,ST
Thomas Raddall,NS ,4,Full,CampsitePermit,T
Rissers Beach,NS ,3,Full,CampsitePermit,LT30ft
Ellenwood Lake,NS ,3,Full,CampsitePermit,T
Rissers Beach,NS ,3,Full,CampsitePermit,LT40ft
Five Islands,NS ,4,Full,CampsitePermit,ST
Caribou Munroes,NS ,2,Senior,CampsitePermit,LT30ft
Battery,NS ,2,Full,CampsitePermit,ST
Caribou Munroes,NS ,2,Full,CampsitePermit,LT20ft
Ellenwood Lake,NS ,4,Full,CampsitePermit,LT20ft
Caribou Munroes,NS ,3,Full,CampsitePermit,ST
Caribou Munroes,NS ,3,Full,CampsitePermit,ST
Rissers Beach,NS ,4,Full,CampsitePermit,LT20ft
Valleyview,NS ,2,Senior,CampsitePermit,LT40ft
Porters Lake,NS ,5,Full,CampsitePermit,LT20ft
Thomas Raddall,NS ,2,Full,CampsitePermit,ST
Rissers Beach,NS ,5,Full,CampsitePermit,T
Blomidon,NS ,2,Full,CampsitePermit,LT20ft
Five Islands,NS ,2,Full,CampsitePermit,ST
Caribou Munroes,NS ,2,Full,CampsitePermit,LT30ft
Smileys,NS ,4,Full,CampsitePermit,ST
Valleyview,NS ,2,Senior,CampsitePermit,ST
Valleyview,NS ,2,Full,CampsitePermit,ST
Ellenwood Lake,NS ,1,Full,CampsitePermit,ST
Thomas Raddall,NS ,6,Full,CampsitePermit,T
Porters Lake,NS ,2,Full,CampsitePermit,ST
Graves Island,NS ,2,Senior,CampsitePermit,LT30ft
Caribou Munroes,NS ,5,Full,CampsitePermit,LT40ft
Dollar Lake,NS ,2,Full,CampsitePermit,ST
Mira River,NS ,2,Full,CampsitePermit,ST
Laurie,NS ,6,Full,CampsitePermit,T
Rissers Beach,NS ,2,Full,CampsitePermit,LT20ft
Blomidon,NS ,3,Full,CampsitePermit,T
Valleyview,NS ,4,Full,CampsitePermit,LT30ft
Graves Island,NS ,2,Full,CampsitePermit,LT40ft
Amherst Shore,NS ,2,Full,CampsitePermit,T
Caribou Munroes,NS ,2,Senior,CampsitePermit,LT20ft
Thomas Raddall,NS ,2,Full,CampsitePermit,ST
Mira River,NS ,5,Full,CampsitePermit,LT30ft
Caribou Munroes,NS ,5,Full,CampsitePermit,LT20ft
Thomas Raddall,NS ,2,Senior,CampsitePermit,LT20ft
Dollar Lake,NS ,6,Full,CampsitePermit,T
Ellenwood Lake,NS ,3,Full,CampsitePermit,LT20ft
Rissers Beach,NS ,3,Full,CampsitePermit,
Caribou Munroes,NS ,6,Full,CampsitePermit,T
Amherst Shore,NS ,2,Full,CampsitePermit,ST
Battery,NS ,2,Full,CampsitePermit,ST
Amherst Shore,NS ,2,Full,CampsitePermit,T
Rissers Beach,NS ,2,Full,CampsitePermit,ST
Caribou Munroes,NS ,2,Full,CampsitePermit,ST
Battery,NS ,2,Full,CampsitePermit,LT20ft
Blomidon,NS ,2,Full,CampsitePermit,ST
Whycocomagh,NS ,4,Full,CampsitePermit,LT20ft
Mira River,NS ,4,Full,CampsitePermit,LT30ft
Rissers Beach,NS ,6,Full,CampsitePermit,T
Dollar Lake,NS ,3,Full,CampsitePermit,LT30ft
Blomidon,NS ,2,Full,CampsitePermit,ST
Ellenwood Lake,NS ,4,Full,CampsitePermit,T
Caribou Munroes,NS ,2,Full,CampsitePermit,ST
Mira River,NS ,4,Full,CampsitePermit,ST
Graves Island,NS ,5,Full,CampsitePermit,ST
Graves Island,NS ,1,Full,CampsitePermit,ST
Five Islands,NS ,3,Full,CampsitePermit,LT20ft
Thomas Raddall,NS ,4,Full,CampsitePermit,LT20ft
Graves Island,NS ,2,Full,CampsitePermit,LT30ft
Dollar Lake,NS ,5,Full,CampsitePermit,ST
Smileys,NS ,4,Full,CampsitePermit,ST
Rissers Beach,NS ,4,Full,CampsitePermit,LT30ft
The Islands,NS ,4,Full,CampsitePermit,LT30ft
Thomas Raddall,NS ,2,Full,CampsitePermit,LT30ft
Whycocomagh,NS ,2,Full,CampsitePermit,ST
Five Islands,NS ,2,Veteran,CampsitePermit,LT30ft
Graves Island,NS ,4,Full,CampsitePermit,LT30ft
Porters Lake,NS ,2,Full,CampsitePermit,LT40ft
Rissers Beach,NS ,4,Full,CampsitePermit,LT30ft
Cape Chignecto,NS ,2,Full,BackcountryPermit,ST
Porters Lake,NS ,3,Full,CampsitePermit,ST
Caribou Munroes,NS ,2,Senior,CampsitePermit,ST
Caribou Munroes,NS ,4,Full,CampsitePermit,LT30ft
Smileys,NS ,6,Full,CampsitePermit,T
Mira River,NS ,4,Full,CampsitePermit,LT30ft
Mira River,NS ,3,Full,CampsitePermit,LT20ft
Mira River,NS ,4,Full,CampsitePermit,LT40ft
Battery,NS ,2,Full,CampsitePermit,ST
Caribou Munroes,NS ,1,Full,CampsitePermit,ST
Laurie,NS ,2,Full,CampsitePermit,LT20ft
Dollar Lake,NS ,4,Full,CampsitePermit,ST
Salsman,NS ,2,Full,CampsitePermit,ST
Dollar Lake,NS ,2,Full,CampsitePermit,ST
Thomas Raddall,NS ,2,Full,CampsitePermit,ST
Smileys,NS ,2,Full,CampsitePermit,ST
Rissers Beach,NS ,4,Full,CampsitePermit,T
Smileys,NS ,2,Senior,CampsitePermit,LT30ft
Cape Chignecto,NS ,2,Full,BackcountryPermit,ST
Rissers Beach,NS ,2,Full,CampsitePermit,ST
Rissers Beach,NS ,6,Full,CampsitePermit,ST
Thomas Raddall,NS ,2,Full,CampsitePermit,ST
Cape Chignecto,NS ,1,Full,BackcountryPermit,ST
Dollar Lake,NS ,4,Full,CampsitePermit,LT20ft
Graves Island,NS ,2,Full,CampsitePermit,LT20ft
Rissers Beach,NS ,4,Full,CampsitePermit,T
Laurie,NS ,2,Full,CampsitePermit,LT30ft
Ellenwood Lake,NS ,2,Full,CampsitePermit,LT20ft
Mira River,NS ,2,Full,CampsitePermit,ST
Caribou Munroes,NS ,2,Full,CampsitePermit,T
Salsman,NS ,2,Full,CampsitePermit,LT30ft
Thomas Raddall,NS ,4,Full,CampsitePermit,ST
Smileys,NS ,2,Full,CampsitePermit,LT20ft
Graves Island,NS ,4,Full,CampsitePermit,LT30ft
Dollar Lake,NS ,2,Full,CampsitePermit,ST
Thomas Raddall,NS ,4,Full,CampsitePermit,ST
Dollar Lake,NS ,6,Full,CampsitePermit,T
Caribou Munroes,NS ,2,Full,CampsitePermit,LT30ft
Mira River,NS ,6,Full,CampsitePermit,ST
Caribou Munroes,NS ,5,Full,CampsitePermit,LT30ft
The Islands,NS ,4,Full,CampsitePermit,LT20ft
Mira River,NS ,2,Senior,CampsitePermit,ST
The Islands,NS ,2,Full,CampsitePermit,ST
Rissers Beach,NS ,3,Full,CampsitePermit,LT30ft
Caribou Munroes,NS ,1,Full,CampsitePermit,ST
Rissers Beach,NS ,4,Full,CampsitePermit,T
Thomas Raddall,NS ,1,Full,CampsitePermit,ST
Mira River,NS ,2,Full,CampsitePermit,ST
Rissers Beach,NS ,2,Full,CampsitePermit,ST
Rissers Beach,NS ,2,Veteran,CampsitePermit,LT20ft
Porters Lake,NS ,2,Full,CampsitePermit,LT30ft
Ellenwood Lake,NS ,3,Full,CampsitePermit,T
Cape Chignecto,NS ,2,Full,BackcountryPermit,ST
Rissers Beach,NS ,2,Senior,CampsitePermit,LT20ft
Amherst Shore,NS ,2,Full,CampsitePermit,ST
Dollar Lake,NS ,6,Full,CampsitePermit,T
Caribou Munroes,NS ,4,Full,CampsitePermit,LT40ft
Blomidon,NS ,3,Full,CampsitePermit,ST
Smileys,NS ,4,Full,CampsitePermit,LT30ft
Graves Island,NS ,2,Full,CampsitePermit,ST
Smileys,NS ,2,Full,CampsitePermit,LT30ft
The Islands,NS ,2,Full,CampsitePermit,LT20ft
Rissers Beach,NS ,2,Senior,CampsitePermit,LT30ft
Amherst Shore,NS ,2,Full,CampsitePermit,LT20ft
Graves Island,NS ,2,Full,CampsitePermit,T
Blomidon,NS ,2,Full,CampsitePermit,ST
Boylston,NS ,2,Full,CampsitePermit,ST
Caribou Munroes,NS ,5,Full,CampsitePermit,LT20ft
Graves Island,NS ,6,Full,CampsitePermit,ST
Mira River,NS ,4,Full,CampsitePermit,LT20ft
Caribou Munroes,NS ,4,Full,CampsitePermit,ST
Blomidon,NS ,2,Full,CampsitePermit,ST
Ellenwood Lake,NS ,2,Full,CampsitePermit,LT30ft
Porters Lake,NS ,4,Full,CampsitePermit,LT20ft
Dollar Lake,NS ,3,Full,CampsitePermit,T
Thomas Raddall,NS ,2,Senior,CampsitePermit,ST
Caribou Munroes,NS ,2,Senior,CampsitePermit,ST
Battery,NS ,4,Full,CampsitePermit,ST
Whycocomagh,NS ,4,Full,CampsitePermit,ST
Rissers Beach,NS ,2,Full,CampsitePermit,LT30ft
Mira River,NS ,4,Full,CampsitePermit,LT40ft
Dollar Lake,NS ,3,Full,CampsitePermit,LT30ft
Ellenwood Lake,NS ,3,Full,CampsitePermit,ST
Porters Lake,NS ,2,Full,CampsitePermit,ST
Porters Lake,NS ,2,Full,CampsitePermit,LT30ft
Dollar Lake,NS ,3,Full,CampsitePermit,ST
The Islands,NS ,2,Full,CampsitePermit,ST
Graves Island,NS ,6,Full,CampsitePermit,T
Smileys,NS ,2,Full,CampsitePermit,LT30ft
Caribou Munroes,NS ,2,Full,CampsitePermit,ST
Graves Island,NS ,2,Senior,CampsitePermit,LT30ft
Smileys,NS ,3,Full,CampsitePermit,LT30ft
Ellenwood Lake,NS ,6,Full,CampsitePermit,ST
Smileys,NS ,5,Full,CampsitePermit,ST
Ellenwood Lake,NS ,1,Host,CampsitePermit,ST
Blomidon,NS ,5,Full,CampsitePermit,T
Ellenwood Lake,NS ,2,Full,CampsitePermit,ST
Caribou Munroes,NS ,2,Full,CampsitePermit,ST
Graves Island,NS ,2,Full,CampsitePermit,LT40ft
Porters Lake,NS ,1,Full,CampsitePermit,ST
Mira River,NS ,4,Full,CampsitePermit,LT40ft
Graves Island,NS ,2,Full,CampsitePermit,T
Amherst Shore,NS ,2,Full,CampsitePermit,LT20ft
Thomas Raddall,NS ,2,Full,CampsitePermit,ST
Whycocomagh,NS ,1,Full,CampsitePermit,LT20ft
Porters Lake,NS ,5,Full,CampsitePermit,LT30ft
Blomidon,NS ,4,Full,CampsitePermit,T
Dollar Lake,NS ,3,Full,CampsitePermit,ST
Dollar Lake,NS ,2,Full,CampsitePermit,ST
Mira River,NS ,2,Full,CampsitePermit,LT20ft
Porters Lake,NS ,4,Full,CampsitePermit,T
The Islands,NS ,2,Full,CampsitePermit,ST
Caribou Munroes,NS ,4,Full,CampsitePermit,LT30ft
Cape Chignecto,NS ,2,Full,BackcountryPermit,ST
Rissers Beach,NS ,2,Senior,CampsitePermit,LT20ft
Smileys,NS ,3,Full,CampsitePermit,LT20ft
Rissers Beach,NS ,4,Full,CampsitePermit,LT30ft
Rissers Beach,NS ,2,Full,CampsitePermit,ST
Five Islands,NS ,2,Full,CampsitePermit,LT30ft
Smileys,NS ,4,Full,CampsitePermit,ST
Rissers Beach,NS ,4,Full,CampsitePermit,ST
Laurie,NS ,3,Full,CampsitePermit,ST
Blomidon,NS ,3,Full,CampsitePermit,LT30ft
Whycocomagh,NS ,6,Senior,YurtPermit,T
Rissers Beach,NS ,3,Full,CampsitePermit,ST
Smileys,NS ,2,Full,CampsitePermit,LT20ft
Blomidon,NS ,2,Full,CampsitePermit,ST
Cape Chignecto,NS ,1,Full,BackcountryPermit,
Caribou Munroes,NS ,2,Full,CampsitePermit,LT30ft
Porters Lake,NS ,5,Full,CampsitePermit,T
Rissers Beach,NS ,2,Full,CampsitePermit,ST
Rissers Beach,NS ,2,Full,CampsitePermit,LT20ft
Thomas Raddall,NS ,6,Full,CampsitePermit,LT30ft
Dollar Lake,NS ,2,Senior,CampsitePermit,ST
The Islands,NS ,3,Full,CampsitePermit,LT40ft
Dollar Lake,NS ,4,Full,CampsitePermit,ST
Rissers Beach,NS ,1,Full,CampsitePermit,ST
Porters Lake,NS ,2,Full,CampsitePermit,LT40ft
Caribou Munroes,NS ,2,Full,CampsitePermit,ST
Rissers Beach,NS ,2,Full,CampsitePermit,ST
Rissers Beach,NS ,4,Full,CampsitePermit,LT30ft
Graves Island,NS ,2,Full,CampsitePermit,ST
Caribou Munroes,NS ,6,Full,CampsitePermit,T
Dollar Lake,NS ,4,Full,CampsitePermit,LT20ft
Caribou Munroes,NS ,3,Full,CampsitePermit,LT30ft
Laurie,NS ,2,Full,CampsitePermit,ST
Rissers Beach,NS ,3,Full,CampsitePermit,LT20ft
Rissers Beach,NS ,2,Senior,CampsitePermit,LT30ft
The Islands,NS ,1,Full,CampsitePermit,LT20ft
Laurie,NS ,2,Full,CampsitePermit,LT40ft
Blomidon,NS ,3,Full,CampsitePermit,ST
Salsman,NS ,2,Full,CampsitePermit,ST
Dollar Lake,NS ,4,Full,CampsitePermit,T
Rissers Beach,NS ,2,Full,CampsitePermit,T
Dollar Lake,NS ,3,Full,CampsitePermit,ST
Dollar Lake,NS ,5,Full,CampsitePermit,ST
Caribou Munroes,NS ,4,Full,CampsitePermit,LT40ft
Graves Island,NS ,2,Full,CampsitePermit,LT30ft
Amherst Shore,NS ,4,Full,CampsitePermit,ST
Smileys,NS ,3,Full,CampsitePermit,LT40ft
Mira River,NS ,3,Full,CampsitePermit,ST
Rissers Beach,NS ,2,Full,CampsitePermit,ST
Graves Island,NS ,2,Full,CampsitePermit,ST
Graves Island,NS ,3,Full,CampsitePermit,LT30ft
Graves Island,NS ,4,Full,CampsitePermit,T
Thomas Raddall,NS ,3,Full,CampsitePermit,ST
Dollar Lake,NS ,4,Full,CampsitePermit,LT20ft
Caribou Munroes,NS ,4,Full,CampsitePermit,ST
Porters Lake,NS ,2,Full,CampsitePermit,LT30ft
Laurie,NS ,2,Senior,CampsitePermit,LT30ft
Porters Lake,NS ,6,Full,CampsitePermit,LT20ft
Mira River,NS ,1,Senior,CampsitePermit,LT20ft
Five Islands,NS ,4,Full,CampsitePermit,ST
Mira River,NS ,2,Senior,CampsitePermit,LT20ft
Dollar Lake,NS ,4,Full,CampsitePermit,LT20ft
Laurie,NS ,3,Full,CampsitePermit,LT20ft
Mira River,NS ,6,Full,CampsitePermit,ST
Boylston,NS ,2,Full,CampsitePermit,LT40ft
Thomas Raddall,NS ,3,Full,CampsitePermit,LT30ft
Dollar Lake,NS ,1,Full,CampsitePermit,ST
Mira River,NS ,4,Full,CampsitePermit,LT30ft
Mira River,NS ,2,Full,CampsitePermit,ST
Rissers Beach,NS ,5,Full,CampsitePermit,LT20ft
Rissers Beach,NS ,2,Full,CampsitePermit,LT20ft
Porters Lake,NS ,3,Full,CampsitePermit,T
Caribou Munroes,NS ,2,Full,CampsitePermit,LT20ft
Graves Island,NS ,4,Full,CampsitePermit,T
Cape Chignecto,NS ,4,Full,BackcountryPermit,ST
Caribou Munroes,NS ,5,Full,CampsitePermit,ST
Laurie,NS ,4,Full,CampsitePermit,LT30ft
The Islands,NS ,2,Full,CampsitePermit,LT20ft
Ellenwood Lake,NS ,4,Full,CampsitePermit,ST
Rissers Beach,NS ,2,Full,CampsitePermit,LT20ft
Battery,NS ,4,Full,CampsitePermit,T
Rissers Beach,NS ,3,Full,CampsitePermit,LT20ft
Graves Island,NS ,3,Full,CampsitePermit,LT40ft
Smileys,NS ,2,Full,CampsitePermit,ST
Ellenwood Lake,NS ,2,FULL,CampsitePermit,ST
Caribou Munroes,NS ,4,Full,CampsitePermit,LT20ft
Thomas Raddall,NS ,2,Full,CampsitePermit,LT20ft
Dollar Lake,NS ,5,Full,CampsitePermit,LT30ft
Caribou Munroes,NS ,3,Senior,CampsitePermit,LT30ft
Graves Island,NS ,2,Senior,CampsitePermit,LT30ft
Caribou Munroes,NS ,2,Full,CampsitePermit,LT30ft
Blomidon,NS ,2,Full,CampsitePermit,LT20ft
The Islands,NS ,2,Full,CampsitePermit,LT20ft
Amherst Shore,NS ,3,Full,CampsitePermit,ST
Amherst Shore,NS ,4,Full,CampsitePermit,LT30ft
Graves Island,NS ,2,Full,CampsitePermit,LT20ft
Five Islands,NS ,5,Full,CampsitePermit,LT20ft
Amherst Shore,NS ,2,Full,CampsitePermit,ST
Graves Island,NS ,2,Full,CampsitePermit,LT30ft
Graves Island,NS ,2,Full,CampsitePermit,LT20ft
Caribou Munroes,NS ,2,Full,CampsitePermit,T
Rissers Beach,NS ,2,Full,CampsitePermit,ST
Blomidon,NS ,3,Full,CampsitePermit,LT20ft
Porters Lake,NS ,2,Full,CampsitePermit,ST
Porters Lake,NS ,4,Full,CampsitePermit,ST
Boylston,NS ,2,Full,CampsitePermit,LT30ft
Mira River,NS ,2,Full,CampsitePermit,ST
Cape Chignecto,NS ,2,Full,BackcountryPermit,ST
Porters Lake,NS ,2,Full,CampsitePermit,LT20ft
Blomidon,NS ,3,Full,CampsitePermit,ST
Graves Island,NS ,2,Full,CampsitePermit,LT40ft
Mira River,NS ,4,Full,CampsitePermit,LT30ft
Five Islands,NS ,2,Full,CampsitePermit,ST
Smileys,NS ,2,Full,CampsitePermit,ST
Rissers Beach,NS ,1,Full,CampsitePermit,ST
Amherst Shore,NS ,4,Full,CampsitePermit,ST
The Islands,NS ,2,Senior,CampsitePermit,LT40ft
Mira River,NS ,2,Full,CampsitePermit,LT20ft
Salsman,NS ,2,Full,CampsitePermit,LT30ft
Five Islands,NS ,3,Full,CampsitePermit,LT30ft
Blomidon,NS ,4,Full,CampsitePermit,LT20ft
Thomas Raddall,NS ,2,Senior,CampsitePermit,LT30ft
Porters Lake,NS ,2,Full,CampsitePermit,ST
Graves Island,NS ,2,Full,CampsitePermit,ST
Rissers Beach,NS ,4,Full,CampsitePermit,ST
Porters Lake,NS ,3,Full,CampsitePermit,ST
Rissers Beach,NS ,4,Full,CampsitePermit,LT30ft
Graves Island,NS ,2,Senior,CampsitePermit,LT20ft
Cape Chignecto,NS ,1,Full,BackcountryPermit,ST
Thomas Raddall,NS ,2,Full,CampsitePermit,ST
Mira River,NS ,6,Full,CampsitePermit,LT30ft
Graves Island,NS ,4,Full,CampsitePermit,LT40ft
Graves Island,NS ,2,Full,CampsitePermit,LT20ft
Graves Island,NS ,2,Full,CampsitePermit,ST
Graves Island,NS ,2,Full,CampsitePermit,LT40ft
Amherst Shore,NS ,2,Full,CampsitePermit,LT20ft
Laurie,NS ,3,Full,CampsitePermit,LT20ft
Rissers Beach,NS ,4,Full,CampsitePermit,LT30ft
Porters Lake,NS ,3,Veteran,CampsitePermit,LT30ft
Rissers Beach,NS ,4,Full,CampsitePermit,LT30ft
Ellenwood Lake,NS ,3,Full,CampsitePermit,LT30ft
Rissers Beach,NS ,1,Full,CampsitePermit,LT30ft
Rissers Beach,NS ,6,Full,CampsitePermit,T
Whycocomagh,NS ,4,Full,YurtPermit,T
Caribou Munroes,NS ,2,Full,CampsitePermit,ST
Porters Lake,NS ,4,Full,CampsitePermit,T
Dollar Lake,NS ,4,Full,CampsitePermit,ST
Rissers Beach,NS ,3,Full,CampsitePermit,LT30ft
